crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,bsan_status,bsan_mean_s,bsan_min_s,bsan_max_s
crossbeam-channel-0.5.15,select_tests::sync3,success,0.11909537810000001,0.11403710500000001,0.12367140300000001,success,14.3022347162,14.151967648,14.506251919,,,,
crossbeam-channel-0.5.15,select_tests::unblocks,success,0.11934493130000001,0.11541430200000001,0.123368292,success,14.652498122599999,14.375945686,14.774556314,,,,
crossbeam-channel-0.5.15,send,success,10.652920410499998,10.628858588,10.799540337,success,15.7495642812,15.503539882,15.949736011,,,,
crossbeam-channel-0.5.15,send_after_disconnect,success,0.12719554710000003,0.121079537,0.137205097,success,14.537736411800001,14.466056608,14.659345714,,,,
crossbeam-channel-0.5.15,send_and_clone,success,0.11593866560000002,0.11005611900000001,0.12229395700000001,success,15.016025789000002,14.889649751,15.258242123,,,,
crossbeam-channel-0.5.15,send_recv_same_channel,success,0.8205041443000003,0.8175463820000001,0.824462334,success,14.6047914308,14.266272772,14.837662362,,,,
crossbeam-channel-0.5.15,send_timeout,success,5.6339292011,5.625225046,5.668769204,success,15.893208159,15.757353102,16.011263844,,,,
crossbeam-channel-0.5.15,sieve1::main,success,0.121781531,0.11827311300000001,0.126898605,success,19.386515229,19.280015881,19.61001932,,,,
crossbeam-channel-0.5.15,smoke,success,2.1235426477,2.119358306,2.134483172,success,15.286702723400001,15.120491547,15.554086885,,,,
crossbeam-channel-0.5.15,smoke1,success,0.116667122,0.114157885,0.11992116200000001,success,14.369486691,14.153729303,14.683005258,,,,
crossbeam-channel-0.5.15,smoke2,success,0.12187574720000002,0.116908701,0.12599395300000002,success,14.370125761599999,14.248762954,14.51071706,,,,
crossbeam-channel-0.5.15,spsc,success,0.5331856934,0.509038047,0.565148336,success,19.690663891199996,19.567755998,19.876865838,,,,
crossbeam-channel-0.5.15,stack_overflow,success,0.11877303089999999,0.11562198400000001,0.12141943200000001,success,14.052207082999999,13.807091122,14.344482627,,,,
crossbeam-channel-0.5.15,stress_iter,success,0.25459585770000004,0.232803582,0.27719661500000004,success,26.6439560868,26.32120733,26.879543114,,,,
crossbeam-channel-0.5.15,stress_mixed,success,0.3861906061000001,0.361304485,0.47379039700000003,success,32.145674842199995,31.923586193,32.271332855,,,,
crossbeam-channel-0.5.15,stress_oneshot,success,2.7213893028000005,2.575387483,2.908742498,success,39.9521561184,39.60337516,40.287756983,,,,
crossbeam-channel-0.5.15,stress_recv,success,0.35037012480000007,0.323935839,0.431744681,success,35.612581479199996,35.299311737,36.127047839,,,,
crossbeam-channel-0.5.15,stress_send,success,0.37870861170000003,0.367381611,0.41241386100000005,success,30.550634341400002,30.243624024,30.754116379,,,,
crossbeam-channel-0.5.15,stress_timeout_two_threads,success,22.6423790077,22.638956938,22.646938192,success,24.2634622682,24.074315468,24.768490059,,,,
crossbeam-channel-0.5.15,sync_and_clone,success,0.1183137987,0.110334944,0.130382347,success,14.7376744036,14.56596839,14.886395287,,,,
crossbeam-channel-0.5.15,sync_channel_tests::chan_gone_concurrent,success,0.11672153790000002,0.11397752800000001,0.12040624800000001,success,14.100054540600002,13.987753477,14.212927472,,,,
crossbeam-channel-0.5.15,sync_channel_tests::destroy_upgraded_shared_port_when_sender_still_active,success,0.1208173274,0.114223843,0.12753383000000001,success,14.712355897399998,14.56990399,15.139147536,,,,
crossbeam-channel-0.5.15,sync_channel_tests::drop_full,success,0.11792281760000001,0.11442324100000001,0.126170897,success,13.729262297400002,13.403398937,14.017662472,,,,
crossbeam-channel-0.5.15,sync_channel_tests::issue_15761,success,0.12441003660000001,0.120269946,0.131765887,success,24.243276827799995,24.028466196,24.938975783,,,,
crossbeam-channel-0.5.15,sync_channel_tests::oneshot_multi_task_recv_then_close,success,0.1184156667,0.115310121,0.12781230200000002,success,13.977470431999999,13.837186801,14.073191821,,,,
