crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
parking_lot_core-0.9.12,"30,145,399","197,619,378","6.6 (3,009,101)","57,555,713","1.9 (157,999)","43,618,880","1.4 (39,736)","4,035,376,575","133.9 (77,746,966)","11,742,297,055","389.5 (1,711,319,939)","26,070","66,538,347","2.2 (2,999,675)","4,690,183",{}
pem-rfc7468-1.0.0,"490,598","4,471,971","9.1 (31,977)","1,297,406","2.6 (3,289)","814,696",1.7 (391),"211,557,855","431.2 (3,136,842)","112,754,386","229.8 (1,857,373)","1,065","2,120,654","4.3 (29,986)","36,444",{}
percent-encoding-2.3.2,"636,759","5,689,200","8.9 (31,977)","1,682,953","2.6 (3,289)","1,068,465",1.7 (513),"262,706,492","412.6 (3,152,148)","136,328,111","214.1 (1,858,644)","1,309","2,544,124","4.0 (29,986)","47,106",{}
petgraph-0.8.3,"11,424,372","103,266,663","9.0 (542,277)","31,865,118","2.8 (49,918)","19,552,297","1.7 (46,833)","5,147,777,017","450.6 (97,026,742)","5,052,276,564","442.2 (721,378,548)","25,473","48,419,575","4.2 (389,402)","1,547,212",{}
pin-project-1.1.13,"1,182,279","10,769,970","9.1 (32,187)","3,129,821","2.6 (3,289)","1,962,593",1.7 (391),"506,812,997","428.7 (3,111,571)","270,870,787","229.1 (1,878,240)","2,557","5,101,089","4.3 (30,196)","87,472",{}
pin-project-lite-0.2.17,"716,822","6,463,552","9.0 (31,977)","1,900,100","2.7 (3,289)","1,197,543",1.7 (391),"298,189,003","416.0 (3,109,272)","158,660,313","221.3 (1,853,840)","1,508","3,022,999","4.2 (29,986)","52,178",{}
ppv-lite86-0.2.21,"68,171","615,785","9.0 (31,977)","179,961","2.6 (3,289)","113,312",1.7 (391),"28,403,134","416.6 (3,108,982)","14,937,041","219.1 (1,852,260)",144,"287,912","4.2 (29,986)","4,974",{}
predicates-3.1.4,"659,117","5,922,298","9.0 (32,187)","1,747,159","2.7 (3,289)","1,101,270",1.7 (391),"275,748,312","418.4 (3,150,273)","143,745,323","218.1 (1,872,623)","1,389","2,768,898","4.2 (30,196)","47,964",{}
proc-macro2-1.0.106,"2,229,604","20,301,062","9.1 (31,977)","5,909,368","2.7 (3,289)","3,710,266",1.7 (391),"964,081,481","432.4 (3,109,794)","503,382,286","225.8 (1,846,308)","4,898","9,643,035","4.3 (29,986)","165,353",{}
quinn-udp-0.6.1,"367,253","3,320,383","9.0 (32,165)","971,527","2.6 (3,289)","610,707",1.7 (391),"156,475,301","426.1 (3,120,895)","81,639,045","222.3 (1,829,299)",793,"1,578,205","4.3 (30,174)","27,659",{}
r-efi-6.0.0,"151,574","1,334,888","8.8 (31,977)","434,637","2.9 (4,096)","280,172",1.8 (513),"58,572,397","386.4 (3,136,950)","30,838,571","203.5 (1,859,447)",296,"575,492","3.8 (29,986)","9,974",{}
radium-1.1.1,"308,033","2,774,278","9.0 (32,094)","813,508","2.6 (3,289)","513,340",1.7 (391),"127,818,546","415.0 (3,187,358)","67,256,866","218.3 (1,863,731)",648,"1,270,099","4.1 (30,102)","22,460",{}
rand-0.10.1,"4,807,061","43,709,773","9.1 (1,230,001)","13,671,525","2.8 (230,796)","8,398,447","1.7 (76,934)","1,633,918,566","339.9 (59,630,826)","9,898,210,909","2059.1 (8,988,973,871)","8,715","15,449,607","3.2 (1,140,012)","1,072,814",{}
redox_syscall-0.8.0,"35,150","323,008","9.2 (31,977)","92,957","2.6 (3,289)","58,503",1.7 (391),"14,678,599","417.6 (3,136,222)","8,437,973","240.1 (1,851,773)",75,"147,949","4.2 (29,986)","2,536",{}
rustversion-1.0.22,"69,754","619,320","8.9 (32,187)","186,699","2.7 (3,289)","116,528",1.7 (391),"28,622,422","410.3 (3,216,865)","15,208,728","218.0 (1,849,174)",146,"285,546","4.1 (30,196)","5,015",{}
ryu-1.0.23,"1,026,757","9,327,512","9.1 (32,187)","2,720,785","2.6 (3,289)","1,708,247",1.7 (593),"437,785,193","426.4 (3,152,585)","234,148,466","228.0 (1,873,593)","2,197","4,381,510","4.3 (30,196)","76,103",{}
scopeguard-1.2.0,"275,875","2,489,604","9.0 (32,187)","729,281","2.6 (3,289)","459,973",1.7 (391),"116,150,460","421.0 (3,169,156)","60,063,787","217.7 (1,863,168)",586,"1,157,738","4.2 (30,196)","19,995",{}
semver-1.0.28,"1,151,400","10,192,888","8.9 (31,977)","3,052,819","2.7 (3,289)","1,923,630",1.7 (391),"466,992,483","405.6 (3,097,198)","243,700,714","211.7 (1,861,668)","2,315","4,515,194","3.9 (29,986)","98,595",{}
serde_bytes-0.11.19,"137,940","1,234,547","8.9 (32,187)","364,243","2.6 (3,289)","228,858",1.7 (391),"57,172,609","414.5 (3,169,163)","29,871,206","216.6 (1,863,178)",292,"574,289","4.2 (30,196)","10,015",{}
serde_core-1.0.228,"39,301","375,977","9.6 (32,187)","103,020","2.6 (3,289)","68,047",1.7 (914),"15,161,325","385.8 (3,169,202)","7,624,533","194.0 (1,863,222)",79,"146,133","3.7 (30,196)","5,812",{}
serde_json-1.0.150,"5,502,213","46,518,051","8.5 (31,597)","15,230,474","2.8 (18,778)","9,489,714","1.7 (2,042)","2,177,907,143","395.8 (33,911,103)","1,233,687,844","224.2 (13,226,197)","11,610","20,555,881","3.7 (29,646)","561,661",{}
serde_with-3.20.0,"4,806,613","44,214,562","9.2 (495,605)","13,262,909","2.8 (151,984)","8,244,992","1.7 (29,997)","2,279,197,660","474.2 (219,199,411)","11,882,955,078","2472.2 (7,998,483,635)","12,064","22,476,761","4.7 (418,267)","586,317",{}
shlex-2.0.1,"262,592","2,304,938","8.8 (31,599)","698,664","2.7 (3,289)","435,273",1.7 (391),"102,050,673","388.6 (2,991,580)","52,175,071","198.7 (1,779,795)",536,"1,025,530","3.9 (29,648)","32,962",{}
siphasher-1.0.3,"451,902","4,067,183","9.0 (31,977)","1,284,624","2.8 (10,624)","811,752","1.8 (6,976)","191,078,044","422.8 (3,109,794)","98,703,343","218.4 (1,827,862)",973,"1,887,964","4.2 (29,986)","39,642",{}
