crate,trees,nodes,avg_nodes,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
serde-1.0.228,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
serde_bytes-0.11.19,48046,492386,10.25,105465,2.2,74406,1.55,23907830,497.6,6217980,129.42,212387,4.42
serde_core-1.0.228,22061,203621,9.23,43084,1.95,37238,1.69,6335133,287.16,1646569,74.64,44708,2.03
serde_json-1.0.150,1122884,9750939,8.68,2620260,2.33,1975035,1.76,929887470,828.12,2029897555,1807.75,3576314,3.18
serde_with-3.20.0,833312,8583012,10.3,2182478,2.62,1503612,1.8,873747031,1048.52,278443614,334.14,3657048,4.39
sha1-0.11.0,3052,16470,5.4,4732,1.55,6406,2.1,1825521,598.14,2877739,942.9,2583,0.85
sharded-slab-0.1.7,4676908,34665639,7.41,8670367,1.85,8123359,1.74,699198090,149.5,355309345,75.97,18959686,4.05
shlex-2.0.1,38211,372827,9.76,93181,2.44,64335,1.68,33138362,867.25,6908690,180.8,123568,3.23
signal-hook-0.4.4,9468,93511,9.88,20838,2.2,14234,1.5,3595173,379.72,1161219,122.65,38345,4.05
signal-hook-registry-1.4.8,9493,94091,9.91,20943,2.21,14329,1.51,3639109,383.35,1175743,123.85,38351,4.04
siphasher-1.0.3,98618,456939,4.63,228658,2.32,247487,2.51,10772109,109.23,3670806,37.22,125691,1.27
slab-0.4.12,104877,1018522,9.71,229489,2.19,180597,1.72,32720849,311.99,21655355,206.48,389783,3.72
smallvec-1.15.1,115393,1165173,10.1,270179,2.34,206894,1.79,33790034,292.83,11697812,101.37,440139,3.81
socket2-0.6.4,27124,244028,9.0,61869,2.28,50259,1.85,7551798,278.42,2274941,83.87,88488,3.26
spin-0.12.0,1034967,7989583,7.72,1839975,1.78,1775595,1.72,103045238,99.56,279216189,269.78,3151146,3.04
stable_deref_trait-1.2.1,9346,93638,10.02,20394,2.18,14028,1.5,3622216,387.57,1214436,129.94,37947,4.06
subtle-2.6.1,211541,2671534,12.63,487706,2.31,376801,1.78,147127618,695.5,23931459,113.13,1024277,4.84
sync_wrapper-1.0.2,9414,93982,9.98,20493,2.18,14159,1.5,3623819,384.94,1214783,129.04,37947,4.03
tar-0.4.46,9358,92770,9.91,20602,2.2,14046,1.5,3550530,379.41,1188431,127.0,37875,4.05
tempfile-3.27.0,31036,313291,10.09,69335,2.23,47763,1.54,11806863,380.42,3941653,127.0,126929,4.09
terminal_size-0.4.4,9134,90596,9.92,19943,2.18,13453,1.47,3436267,376.21,1168893,127.97,38168,4.18
thread_local-1.1.9,36061,334523,9.28,81431,2.26,66050,1.83,38398822,1064.83,23546566,652.96,132959,3.69
time-0.3.47,17976,181679,10.11,39781,2.21,26561,1.48,7151348,397.83,2401697,133.61,75824,4.22
tinystr-0.8.3,2858547,18873956,6.6,6455624,2.26,5466234,1.91,574582009,201.0,186349124,65.19,3402965,1.19
tokio-stream-0.1.18,674873,6473037,9.59,1452872,2.15,1265600,1.88,367908665,545.15,590690309,875.26,2335909,3.46
tokio-util-0.7.18,20113,195930,9.74,44079,2.19,35888,1.78,10193138,506.79,14466728,719.27,72519,3.61
tonic-0.14.6,142450,1372257,9.63,331844,2.33,257580,1.81,48351387,339.43,60913816,427.62,485371,3.41
tower-http-0.6.11,23772,225927,9.5,51810,2.18,38969,1.64,7416936,312.0,1853720,77.98,89221,3.75
tracing-0.1.44,10384,103973,10.01,22912,2.21,15692,1.51,3982748,383.55,1267720,122.08,42835,4.13
tracing-core-0.1.36,39719,378917,9.54,85175,2.14,66377,1.67,25797874,649.51,238049473,5993.34,155548,3.92
tracing-log-0.2.0,69157,992330,14.35,184961,2.67,123167,1.78,56463932,816.46,11987407,173.34,473117,6.84
tracing-subscriber-0.3.23,2815711,33739578,11.98,7576607,2.69,6017856,2.14,1752835546,622.52,4384397985,1557.12,22871240,8.12
tungstenite-0.29.0,193946,1264925,6.52,348583,1.8,364713,1.88,258319504,1331.91,82690983,426.36,375117,1.93
twox-hash-2.1.2,1257106,16365789,13.02,2514519,2.0,2673260,2.13,4526539078,3600.76,8609292247,6848.5,11999105,9.55
unicode-bidi-0.3.18,388628,2805026,7.22,929567,2.39,662919,1.71,72789813,187.3,50287424,129.4,818184,2.11
unicode-ident-1.0.24,14688383,187693974,12.78,53942847,3.67,24311520,1.66,5809147514,395.49,19853542316,1351.65,138975207,9.46
unicode-normalization-0.1.25,18958025,104857265,5.53,30287859,1.6,28813987,1.52,1137458086,60.0,465585877,24.56,16552789,0.87
unsafe-libyaml-0.2.11,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
url-2.5.8,5816054,55336890,9.51,12615969,2.17,9722812,1.67,3766098887,647.54,4535581345,779.84,26002921,4.47
urlencoding-2.1.3,27667,272514,9.85,63411,2.29,47390,1.71,10400249,375.91,2946492,106.5,98929,3.58
utf-8-0.7.6,92,563,6.12,122,1.33,171,1.86,6061,65.88,374,4.07,0,0.0
utf8_iter-1.0.4,12418,124037,9.99,27779,2.24,19412,1.56,4654266,374.8,1481680,119.32,47767,3.85
utf8parse-0.2.2,83289,1145160,13.75,271618,3.26,144900,1.74,309184026,3712.18,11261367926,135208.35,852247,10.23
uuid-1.23.2,163311,1346181,8.24,375565,2.3,275762,1.69,40803277,249.85,47324628,289.78,463537,2.84
wasm-bindgen-0.2.122,280,1702,6.08,369,1.32,514,1.84,18232,65.11,1123,4.01,0,0.0
which-8.0.2,41242,401038,9.72,90249,2.19,67407,1.63,30535549,740.4,5875973,142.48,160265,3.89
winapi-0.3.9,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
winapi-util-0.1.11,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
windows-core-0.62.2,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
windows-result-0.4.1,9660,98240,10.17,21225,2.2,14380,1.49,3898972,403.62,1272785,131.76,40929,4.24
windows-strings-0.5.1,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
winnow-1.0.3,19657,210728,10.72,47383,2.41,36135,1.84,6536970,332.55,6001946,305.33,111853,5.69
writeable-0.6.3,975870,12589073,12.9,2253325,2.31,2019297,2.07,803169073,823.03,132593918,135.87,1659209,1.7
xattr-1.6.1,18341,184872,10.08,40651,2.22,27450,1.5,7198851,392.5,2379300,129.73,76936,4.19
yansi-1.0.1,175806,1636947,9.31,353539,2.01,297560,1.69,71352692,405.86,13334404,75.85,232578,1.32
yoke-0.8.2,49699,479915,9.66,106106,2.13,79540,1.6,16804287,338.12,4662978,93.82,178871,3.6
zerocopy-0.8.50,6796182,28990349,4.27,9623789,1.42,9683343,1.42,1309434630,192.67,6095529989,896.91,4115056,0.61
zeroize-1.8.2,45660,448854,9.83,100970,2.21,73502,1.61,15475092,338.92,4815345,105.46,178846,3.92
zerotrie-0.2.4,21795,248336,11.39,55040,2.53,38194,1.75,8045919,369.16,2729629,125.24,89359,4.1
zstd-safe-7.2.4,9007,89599,9.95,19808,2.2,13373,1.48,3455094,383.6,1182427,131.28,36331,4.03
