crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead
prettyplease-0.2.37,success,1.631,success,17540.347,10754.351,success,17905.237,0.980,10978.073,success,12993.220,1.350,7966.413
proc-macro2-1.0.106,test_failed,0.626,test_failed,21.897,34.979,test_failed,21.503,1.018,34.350,test_failed,17.751,1.234,28.356
prost-0.14.3,success,130.414,test_failed,5.438,0.042,test_failed,5.288,1.028,0.041,test_failed,5.386,1.010,0.041
pyo3-0.28.3,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
pyo3-ffi-0.28.3,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
quinn-proto-0.11.14,success,7.359,test_failed,6.098,0.829,test_failed,6.799,0.897,0.924,test_failed,8.148,0.748,1.107
quinn-udp-0.6.1,success,1.297,test_failed,3.507,2.704,test_failed,6.473,0.542,4.991,test_failed,2.932,1.196,2.261
r-efi-6.0.0,success,0.598,success,3.171,5.303,success,3.819,0.830,6.386,success,4.759,0.666,7.958
radium-1.1.1,success,0.352,success,3.272,9.295,success,3.582,0.913,10.176,success,3.212,1.019,9.125
rand-0.10.1,success,1.022,success,191.755,187.627,success,177.789,1.079,173.962,success,152.506,1.257,149.223
rayon-1.12.0,success,81.669,absent,,,absent,,,,absent,,,
rayon-core-1.13.0,success,16.821,absent,,,absent,,,,absent,,,
redox_syscall-0.8.0,success,0.319,success,2.817,8.831,success,3.221,0.875,10.097,success,7.779,0.362,24.386
regex-1.12.3,success,51.003,absent,,,absent,,,,absent,,,
regex-automata-0.4.14,build_failed,,test_failed,81.201,,test_failed,79.018,1.028,,test_failed,70.464,1.152,
reqwest-0.13.4,success,9.272,test_failed,3.406,0.367,test_failed,6.675,0.510,0.720,test_failed,3.164,1.076,0.341
ring-0.17.14,build_failed,,test_failed,0.604,,absent,,,,test_failed,0.622,0.971,
rustix-1.1.4,success,1.078,test_failed,1.911,1.773,absent,,,,test_failed,1.784,1.071,1.655
rustls-native-certs-0.8.3,success,10.903,test_failed,1.648,0.151,absent,,,,test_failed,1.456,1.132,0.134
rustls-pki-types-1.14.1,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
rustversion-1.0.22,success,1.779,success,4.557,2.562,success,6.579,0.693,3.698,success,3.762,1.211,2.115
ryu-1.0.23,success,9.450,success,16.495,1.746,success,17.326,0.952,1.833,success,14.416,1.144,1.526
same-file-1.0.6,success,0.382,test_failed,3.308,8.660,test_failed,1.575,2.100,4.123,test_failed,1.564,2.115,4.094
schannel-0.1.29,success,0.205,success,1.454,7.093,success,5.129,0.283,25.020,success,4.108,0.354,20.039
scopeguard-1.2.0,success,0.649,success,7.887,12.153,success,3.745,2.106,5.770,success,3.138,2.513,4.835
security-framework-3.7.0,build_failed,,success,1.722,,success,1.674,1.029,,absent,,,
semver-1.0.28,success,0.846,success,17.228,20.364,success,19.147,0.900,22.632,absent,,,
serde-1.0.228,success,0.269,success,1.936,7.197,success,2.220,0.872,8.253,success,1.653,1.171,6.145
serde_bytes-0.11.19,success,0.903,success,5.954,6.594,success,6.733,0.884,7.456,success,5.053,1.178,5.596
serde_core-1.0.228,test_failed,4.753,test_failed,9.901,2.083,test_failed,13.258,0.747,2.789,test_failed,9.963,0.994,2.096
serde_json-1.0.150,success,34.791,success,112.406,3.231,success,114.976,0.978,3.305,success,116.039,0.969,3.335
serde_with-3.20.0,test_failed,0.701,test_failed,87.297,124.532,test_failed,87.633,0.996,125.011,test_failed,76.244,1.145,108.765
serde_yaml-0.9.34+deprecated,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
sha1-0.11.0,success,0.918,success,12302.681,13401.613,success,14475.428,0.850,15768.440,success,8375.660,1.469,9123.813
sha2-0.11.0,success,2.733,success,26742.958,9785.202,success,32733.448,0.817,11977.112,success,21022.006,1.272,7691.916
sharded-slab-0.1.7,success,21.421,fetch_failed,,,test_failed,910.495,,42.505,test_failed,901.795,,42.099
shlex-2.0.1,success,0.267,success,4.811,18.019,success,5.368,0.896,20.105,success,7.194,0.669,26.944
signal-hook-0.4.4,build_failed,,test_failed,2.072,,test_failed,1.894,1.094,,test_failed,2.225,0.931,
signal-hook-registry-1.4.8,success,0.496,test_failed,1.606,3.238,test_failed,1.567,1.025,3.159,test_failed,3.906,0.411,7.875
simd-adler32-0.3.9,success,1.244,absent,,,absent,,,,absent,,,
siphasher-1.0.3,success,0.325,success,4.366,13.434,success,6.496,0.672,19.988,success,13.153,0.332,40.471
slab-0.4.12,success,3.100,success,12.889,4.158,success,13.328,0.967,4.299,success,12.416,1.038,4.005
smallvec-1.15.1,success,1.380,success,10.774,7.807,success,11.207,0.961,8.121,success,10.454,1.031,7.575
socket2-0.6.4,success,0.923,test_failed,3.689,3.997,test_failed,3.669,1.005,3.975,test_failed,3.616,1.020,3.918
spin-0.12.0,success,14.119,success,87.194,6.176,success,83.583,1.043,5.920,success,123.759,0.705,8.765
stable_deref_trait-1.2.1,success,0.554,success,2.495,4.504,success,2.474,1.008,4.466,success,2.250,1.109,4.061
subtle-2.6.1,success,0.720,success,20.411,28.349,success,20.583,0.992,28.587,success,17.973,1.136,24.962
syn-2.0.117,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
sync_wrapper-1.0.2,success,0.620,success,2.022,3.261,success,2.259,0.895,3.644,absent,,,
tar-0.4.46,success,2.516,test_failed,1.843,0.733,test_failed,1.877,0.982,0.746,absent,,,
tempfile-3.27.0,success,4.592,test_failed,3.840,0.836,test_failed,3.612,1.063,0.787,test_failed,5.535,0.694,1.205
terminal_size-0.4.4,test_failed,0.107,test_failed,1.406,13.140,test_failed,1.445,0.973,13.505,test_failed,1.251,1.124,11.692
thread_local-1.1.9,success,0.671,success,5.950,8.867,success,6.043,0.985,9.006,success,3.987,1.492,5.942
time-0.3.47,success,34.223,test_failed,2.802,0.082,test_failed,2.821,0.993,0.082,test_failed,2.587,1.083,0.076
tiny-keccak-2.0.2,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
tinystr-0.8.3,success,1.771,success,147.559,83.320,success,131.558,1.122,74.285,success,125.181,1.179,70.684
tokio-1.52.3,build_failed,,test_failed,1.999,,test_failed,4.087,0.489,,test_failed,3.104,0.644,
tokio-native-tls-0.3.1,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
tokio-stream-0.1.18,success,10.361,success,99.505,9.604,success,83.821,1.187,8.090,success,69.830,1.425,6.740
tokio-util-0.7.18,build_failed,,test_failed,3.777,,test_failed,6.193,0.610,,test_failed,2.581,1.463,
tonic-0.14.6,success,2.029,test_failed,13.286,6.548,test_failed,13.433,0.989,6.621,test_failed,12.121,1.096,5.974
tower-http-0.6.11,test_failed,1.053,test_failed,9.107,8.649,test_failed,3.709,2.455,3.522,test_failed,3.463,2.630,3.289
