crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
ntcore-sys-0.3.0,ntcore-sys,0.3.0,https://github.com/gavin-niederman/lagan,github,4,0,0,3,"extern ""C"""
ntgcalls-3.0.0-rc06,ntgcalls,3.0.0-rc06,https://github.com/pytgcalls/ntgcalls,github,13,0,0,2,"extern ""C"""
nuitrack-rs-0.0.15,nuitrack-rs,0.0.15,https://github.com/JOSEPHGILBY/nuitrack-rs,github,3,0,48,21,"extern ""C"" + extern ""C++"""
num_threads-0.1.7,num_threads,0.1.7,https://github.com/jhpratt/num_threads,github,1,0,0,1,"extern ""C"""
numcodecs-wasm-host-reproducible-0.2.3+wasi0.2.6,numcodecs-wasm-host-reproducible,0.2.3+wasi0.2.6,https://github.com/juntyr/numcodecs-rs,github,2,0,0,2,"extern ""C"""
numpy-0.29.0,numpy,0.29.0,https://github.com/PyO3/rust-numpy,github,37,0,0,4,"extern ""C"""
nut_sys-0.2.0,nut_sys,0.2.0,https://github.com/hacatu/nut_sys,github,5,0,0,1,"extern ""C"""
nvbit-rs-0.0.38,nvbit-rs,0.0.38,https://github.com/romnn/nvbit-rs,github,1,0,0,1,"extern ""C"""
nw-sys-0.1.6,nw-sys,0.1.6,https://github.com/aspectron/nw-sys,github,15,0,0,13,"extern ""C"""
nxui-0.16.25,nxui,0.16.25,https://github.com/LatteSyobon/nxui,github,23,0,0,6,"extern ""C"""
nylon-ring-0.2.2,nylon-ring,0.2.2,https://github.com/AssetsArt/nylon-ring,github,37,0,0,2,"extern ""C"""
nylon-ring-host-0.2.2,nylon-ring-host,0.2.2,https://github.com/AssetsArt/nylon-ring,github,15,0,0,3,"extern ""C"""
nyxstone-0.1.8,nyxstone,0.1.8,https://github.com/emproof-com/nyxstone,github,0,0,1,1,"extern ""C++"""
obby-ffi-0.3.0,obby-ffi,0.3.0,https://github.com/obbyworld/obby-client,github,49,0,0,1,"extern ""C"""
objc2-0.6.4,objc2,0.6.4,https://github.com/madsmtm/objc2,github,44,59,0,18,"extern ""C"" + extern ""C-unwind"""
